;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 23/01/2016 16:35:29
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0xF008EF00  	GOTO        4096
0x0004	0x0000      	NOP
0x0006	0x0000      	NOP
0x0008	0xF000EF00  	GOTO        0
0x000C	0x0000      	NOP
0x000E	0x0000      	NOP
0x0010	0x0000      	NOP
0x0012	0x0000      	NOP
0x0014	0x0000      	NOP
0x0016	0x0000      	NOP
0x0018	0xD7F3      	BRA         0
_main:
0x1000	0xF009ECB7  	CALL        4974, 0
;DisplayLCD16x2(MikroC).c,62 :: 		void main (void) org 0x1000
;DisplayLCD16x2(MikroC).c,65 :: 		AFSmartBoard_Init();                // inicia placa
0x1004	0xD8EF      	RCALL       _AFSmartBoard_Init
;DisplayLCD16x2(MikroC).c,67 :: 		lcd_init ( );
0x1006	0xD946      	RCALL       _Lcd_Init
;DisplayLCD16x2(MikroC).c,68 :: 		lcd_cmd (_LCD_CLEAR);
0x1008	0x0E01      	MOVLW       1
0x100A	0x0100      	MOVLB       0
0x100C	0x6F62      	MOVWF       FARG_Lcd_Cmd_out_char, 1
0x100E	0xD8A5      	RCALL       _Lcd_Cmd
;DisplayLCD16x2(MikroC).c,69 :: 		lcd_cmd (_LCD_CURSOR_OFF);
0x1010	0x0E0C      	MOVLW       12
0x1012	0x6F62      	MOVWF       FARG_Lcd_Cmd_out_char, 1
0x1014	0xD8A2      	RCALL       _Lcd_Cmd
;DisplayLCD16x2(MikroC).c,73 :: 		AFSmartBoard_str (1,1, MsgWelcome3 );
0x1016	0x0E01      	MOVLW       1
0x1018	0x6E5C      	MOVWF       FARG_Lcd_Out_row 
0x101A	0x0E01      	MOVLW       1
0x101C	0x6E5D      	MOVWF       FARG_Lcd_Out_column 
0x101E	0x0E37      	MOVLW       _MsgWelcome3
0x1020	0x6E5E      	MOVWF       FARG_Lcd_Out_text 
0x1022	0x0E00      	MOVLW       hi_addr(_MsgWelcome3)
0x1024	0x6E5F      	MOVWF       FARG_Lcd_Out_text+1 
0x1026	0xD8F9      	RCALL       _Lcd_Out
;DisplayLCD16x2(MikroC).c,74 :: 		DELAY_MS (500);
0x1028	0x0E0D      	MOVLW       13
0x102A	0x6E0B      	MOVWF       R11, 0
0x102C	0x0EAF      	MOVLW       175
0x102E	0x6E0C      	MOVWF       R12, 0
0x1030	0x0EB6      	MOVLW       182
0x1032	0x6E0D      	MOVWF       R13, 0
L_main2:
0x1034	0x2E0D      	DECFSZ      R13, 1, 0
0x1036	0xD7FE      	BRA         L_main2
0x1038	0x2E0C      	DECFSZ      R12, 1, 0
0x103A	0xD7FC      	BRA         L_main2
0x103C	0x2E0B      	DECFSZ      R11, 1, 0
0x103E	0xD7FA      	BRA         L_main2
0x1040	0x0000      	NOP
;DisplayLCD16x2(MikroC).c,75 :: 		AFSmartBoard_str (2,1, MsgWelcome4 ) ;
0x1042	0x0E02      	MOVLW       2
0x1044	0x6E5C      	MOVWF       FARG_Lcd_Out_row 
0x1046	0x0E01      	MOVLW       1
0x1048	0x6E5D      	MOVWF       FARG_Lcd_Out_column 
0x104A	0x0E26      	MOVLW       _MsgWelcome4
0x104C	0x6E5E      	MOVWF       FARG_Lcd_Out_text 
0x104E	0x0E00      	MOVLW       hi_addr(_MsgWelcome4)
0x1050	0x6E5F      	MOVWF       FARG_Lcd_Out_text+1 
0x1052	0xD8E3      	RCALL       _Lcd_Out
;DisplayLCD16x2(MikroC).c,76 :: 		Delay_ms (500);
0x1054	0x0E0D      	MOVLW       13
0x1056	0x6E0B      	MOVWF       R11, 0
0x1058	0x0EAF      	MOVLW       175
0x105A	0x6E0C      	MOVWF       R12, 0
0x105C	0x0EB6      	MOVLW       182
0x105E	0x6E0D      	MOVWF       R13, 0
L_main3:
0x1060	0x2E0D      	DECFSZ      R13, 1, 0
0x1062	0xD7FE      	BRA         L_main3
0x1064	0x2E0C      	DECFSZ      R12, 1, 0
0x1066	0xD7FC      	BRA         L_main3
0x1068	0x2E0B      	DECFSZ      R11, 1, 0
0x106A	0xD7FA      	BRA         L_main3
0x106C	0x0000      	NOP
;DisplayLCD16x2(MikroC).c,77 :: 		LCD_cmd (_LCD_CLEAR);
0x106E	0x0E01      	MOVLW       1
0x1070	0x6F62      	MOVWF       FARG_Lcd_Cmd_out_char, 1
0x1072	0xD873      	RCALL       _Lcd_Cmd
;DisplayLCD16x2(MikroC).c,79 :: 		AFSmartBoard_str (1,1, MsgWelcome1 );
0x1074	0x0E01      	MOVLW       1
0x1076	0x6E5C      	MOVWF       FARG_Lcd_Out_row 
